source_table,source_column,target_table,target_column
Outpatient Visit Claims,Z_PATID,None,None
Outpatient Visit Claims,Z_CLMID,VISIT_OCCURRENCE,visit_occurrence_id
Outpatient Visit Claims,CLMSEQ,VISIT_OCCURRENCE,None
Outpatient Visit Claims,YR,VISIT_OCCURRENCE,year_of_visit
Outpatient Visit Claims,MNTH,VISIT_OCCURRENCE,month_of_visit
Outpatient Visit Claims,CLM_FRM_TYP,None,None
Outpatient Visit Claims,TOB,None,None
Outpatient Visit Claims,FST_DT,VISIT_OCCURRENCE,visit_start_date
Outpatient Visit Claims,LST_DT,VISIT_OCCURRENCE,visit_end_date
Outpatient Visit Claims,CLM_FST_DT,VISIT_OCCURRENCE,None
Outpatient Visit Claims,Z_VISITID,VISIT_OCCURRENCE,visit_occurrence_id
Outpatient Visit Claims,PAID_DT,COST,paid_date
Outpatient Visit Claims,AMT_NET_PAID,COST,paid_amount
Outpatient Visit Claims,COINS,COST,coinsurance_amount
Outpatient Visit Claims,COPAY,COST,copayment_amount
Outpatient Visit Claims,DEDUCT,COST,deductible_amount
Outpatient Visit Claims,CALC_ALLWD,COST,allowed_amount
Outpatient Visit Claims,TOT_MEM_CS,COST,total_member_cost_share
Outpatient Visit Claims,UNITS,PROCEDURE_OCCURRENCE,quantity
Outpatient Visit Claims,DIAG1,CONDITION_OCCURRENCE,condition_concept_id
Outpatient Visit Claims,DIAG2,CONDITION_OCCURRENCE,condition_concept_id
Outpatient Visit Claims,DIAG3,CONDITION_OCCURRENCE,condition_concept_id
Outpatient Visit Claims,ICD10_CM1-10,CONDITION_OCCURRENCE,condition_source_value
Outpatient Visit Claims,POA1-10,CONDITION_OCCURRENCE,present_on_admission_concept_id
Outpatient Visit Claims,DRG,CONDITION_OCCURRENCE,drg_concept_id
Outpatient Visit Claims,DSTATUS,VISIT_OCCURRENCE,discharge_to_concept_id
Outpatient Visit Claims,PROC_CD,PROCEDURE_OCCURRENCE,procedure_concept_id
Outpatient Visit Claims,PROC1,PROCEDURE_OCCURRENCE,procedure_concept_id
Outpatient Visit Claims,PROC2,PROCEDURE_OCCURRENCE,procedure_concept_id
Outpatient Visit Claims,PROC3,PROCEDURE_OCCURRENCE,procedure_concept_id
Outpatient Visit Claims,PROCMOD,PROCEDURE_OCCURRENCE,modifier_concept_id
Outpatient Visit Claims,ICD10_PCS1-10,PROCEDURE_OCCURRENCE,procedure_source_value
Outpatient Visit Claims,RVNU_CD,None,None
Outpatient Visit Claims,POS,VISIT_OCCURRENCE,place_of_service_concept_id
Outpatient Visit Claims,HNPI,PROVIDER,provider_npi
Outpatient Visit Claims,HNPI_BE,PROVIDER,billing_provider_npi
Outpatient Visit Claims,PROVCAT,PROVIDER,provider_specialty_concept_id
Outpatient Visit Claims,PROV_ZIP_5_CD,PROVIDER,provider_zip_code
Outpatient Visit Claims,PROV_CBSA_CD,None,None
Outpatient Visit Claims,PROV_STATE,PROVIDER,provider_state
Outpatient Visit Claims,NTWRK_IND,None,None
Outpatient Visit Claims,PRIMARY_COV_IND,None,None
Outpatient Visit Claims,HCCI_HL_CAT,None,None
Outpatient Visit Claims,HCCI_DET_CAT,None,None
Outpatient Visit Claims,OVER65_FLAG,None,None
Pharmacy Claims,Z_PATID,None,None
Pharmacy Claims,Z_CLMID,DRUG_EXPOSURE,drug_exposure_id
Pharmacy Claims,YR,DRUG_EXPOSURE,year_of_drug_exposure
Pharmacy Claims,MNTH,DRUG_EXPOSURE,month_of_drug_exposure
Pharmacy Claims,YRMNTH_PD,DRUG_EXPOSURE,None
Pharmacy Claims,FILL_DT,DRUG_EXPOSURE,drug_exposure_start_date
Pharmacy Claims,CHK_DT,COST,paid_date
Pharmacy Claims,AMT_NET_PAID,COST,paid_amount
Pharmacy Claims,COPAY,COST,copayment_amount
Pharmacy Claims,COINS,COST,coinsurance_amount
Pharmacy Claims,DEDUCT,COST,deductible_amount
Pharmacy Claims,CALC_ALLWD,COST,allowed_amount
Pharmacy Claims,TOT_MEM_CS,COST,total_member_cost_share
Pharmacy Claims,DISPFEE,COST,dispensing_fee
Pharmacy Claims,QUANTITY,DRUG_EXPOSURE,quantity
Pharmacy Claims,HNPI,PROVIDER,provider_npi
Pharmacy Claims,DAW,DRUG_EXPOSURE,dispense_as_written
Pharmacy Claims,DAYS_SUP,DRUG_EXPOSURE,days_supply
Pharmacy Claims,SCRIPTS,DRUG_EXPOSURE,None
Pharmacy Claims,NDC,DRUG_EXPOSURE,drug_concept_id
Pharmacy Claims,SPCLT_IND,None,None
Pharmacy Claims,HCCI_HL_CAT,None,None
Pharmacy Claims,HCCI_DET_CAT,None,None
Pharmacy Claims,OVER65_FLAG,None,None
